,TOTAL_USAGE,BASE_USAGE,SERVER_USAGE,WORKFLOW_USAGE
AVERAGE_CPU_USAGE,137.11125,6.538333333333332,47.10541666666667,83.46750000000002
AVERAGE_MEMORY_USAGE,29.855000000000004,11.07666666666666,8.553333333333338,10.225000000000005
AVERAGE_DISK_USAGE,0.0,0.0,0.0,0.0
STD_CPU_USAGE,32.191749408731894,17.158106360810592,3.5954706026008147,11.43817244532049
STD_MEMORY_USAGE,2.419232512720058,1.1390590658765483,0.08225975119502009,1.1979136956484897
STD_DISK_USAGE,0.0,0.0,0.0,0.0
CV_CPU_USAGE,283.7598044893346,262.4232428367667,7.632817745873134,13.703743906694807
CV_MEMORY_USAGE,22.96067494085179,10.283410164398575,0.9617274106978182,11.715537365755395
CV_DISK_USAGE,0.0,0.0,0.0,0.0
MIN_CPU_USAGE,0.0,0.5,48.2,59.475
MIN_MEMORY_USAGE,10.5,10.8,19.5,19.2
MIN_DISK_USAGE,0.0,0.0,0.0,0.0
MAX_CPU_USAGE,100.0,96.225,67.125,100.0
MAX_MEMORY_USAGE,24.1,16.5,19.8,24.1
MAX_DISK_USAGE,0.0,0.0,0.0,0.0
SENT_BYTES,0.1521270563825965,7.593072950839996e-06,0.034330801106989384,0.11778866220265627
RECEIVED_BYTES,0.15222841035574675,2.0827166736125946e-05,0.034378884360194206,0.11782869882881641
