Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,10.4,0.0
2,0.0,10.4,0.0
3,7.949999999999999,10.6,0.0
4,3.025,10.6,0.0
5,2.0,10.6,0.0
6,2.475,10.6,0.0
7,2.0,10.6,0.0
8,2.0,10.6,0.0
9,3.475,10.6,0.0
10,3.0,10.6,0.0
11,2.025,10.6,0.0
12,3.5,10.6,0.0
13,1.75,10.6,0.0
14,2.5,10.6,0.0
15,2.75,10.6,0.0
16,3.45,10.6,0.0
17,2.475,10.6,0.0
18,2.5,10.6,0.0
19,1.975,10.6,0.0
20,1.25,10.6,0.0
21,2.0,10.6,0.0
22,2.225,10.6,0.0
23,1.5,10.6,0.0
24,2.25,10.6,0.0
25,1.75,10.6,0.0
26,2.975,10.6,0.0
27,1.75,10.6,0.0
28,2.0,10.6,0.0
29,1.5,10.6,0.0
30,2.0,10.6,0.0
31,3.0,10.6,0.0
32,2.225,10.6,0.0
33,2.25,10.6,0.0
34,2.5,10.6,0.0
35,3.25,10.6,0.0
36,2.25,10.6,0.0
37,2.5,10.6,0.0
38,2.25,10.6,0.0
39,2.0,10.6,0.0
40,3.75,10.6,0.0
41,2.5,10.6,0.0
42,2.5,10.6,0.0
43,4.25,10.6,0.0
44,2.0,10.6,0.0
45,2.775,10.6,0.0
46,2.25,10.6,0.0
47,3.25,10.6,0.0
48,2.475,10.6,0.0
49,2.75,10.6,0.0
50,2.5,10.6,0.0
51,1.25,10.6,0.0
52,1.25,10.6,0.0
53,1.25,10.6,0.0
54,1.25,10.6,0.0
55,2.225,10.6,0.0
56,1.0,10.6,0.0
57,1.75,10.6,0.0
58,1.5,10.6,0.0
59,1.5,10.6,0.0
60,1.75,10.6,0.0
61,1.5,10.6,0.0
62,1.75,10.6,0.0
63,1.25,10.6,0.0
64,1.5,10.6,0.0
65,1.75,10.6,0.0
66,1.725,10.6,0.0
67,2.25,10.6,0.0
68,1.25,10.6,0.0
69,1.25,10.6,0.0
70,1.5,10.6,0.0
71,2.0,10.6,0.0
72,1.75,10.6,0.0
73,2.0,10.6,0.0
74,1.25,10.6,0.0
75,1.25,10.6,0.0
76,1.25,10.6,0.0
77,2.475,10.6,0.0
78,0.75,10.6,0.0
79,2.25,10.6,0.0
80,1.5,10.6,0.0
81,2.0,10.6,0.0
82,1.5,10.6,0.0
83,1.5,10.6,0.0
84,1.25,10.6,0.0
85,2.725,10.6,0.0
86,1.975,10.6,0.0
87,2.0,10.6,0.0
88,1.25,10.6,0.0
89,2.0,10.6,0.0
90,1.25,10.6,0.0
91,2.0,10.6,0.0
92,1.0,10.6,0.0
93,2.0,10.6,0.0
94,0.75,10.6,0.0
95,2.0,10.6,0.0
96,1.25,10.6,0.0
97,2.475,10.6,0.0
98,1.0,10.6,0.0
99,1.5,10.6,0.0
100,2.0,10.6,0.0
101,2.25,10.6,0.0
102,1.75,10.6,0.0
103,2.5,10.6,0.0
104,1.25,10.6,0.0
105,2.0,10.6,0.0
106,1.25,10.6,0.0
107,2.0,10.6,0.0
108,1.0,10.6,0.0
109,2.25,10.6,0.0
110,0.75,10.6,0.0
111,2.225,10.6,0.0
112,1.25,10.6,0.0
113,2.0,10.6,0.0
114,1.5,10.6,0.0
115,2.475,10.6,0.0
116,1.25,10.6,0.0
117,2.25,10.6,0.0
118,0.75,10.6,0.0
119,2.2,10.6,0.0
120,1.5,10.6,0.0
121,2.25,10.6,0.0
122,1.25,10.6,0.0
123,2.0,10.6,0.0
124,1.25,10.6,0.0
125,2.725,10.6,0.0
126,1.75,10.6,0.0
127,1.5,10.6,0.0
128,1.975,10.6,0.0
129,1.75,10.6,0.0
130,1.475,10.6,0.0
131,2.0,10.6,0.0
132,1.25,10.6,0.0
133,2.475,10.6,0.0
134,1.0,10.6,0.0
135,2.25,10.6,0.0
136,1.25,10.6,0.0
137,2.225,10.6,0.0
138,1.0,10.6,0.0
139,1.5,10.6,0.0
140,1.5,10.6,0.0
141,2.0,10.6,0.0
142,1.0,10.6,0.0
143,1.75,10.6,0.0
144,1.25,10.6,0.0
145,2.0,10.6,0.0
146,1.75,10.6,0.0
147,2.0,10.6,0.0
148,1.0,10.6,0.0
149,1.725,10.6,0.0
150,1.5,10.6,0.0
151,2.25,10.6,0.0
152,1.5,10.6,0.0
153,1.5,10.6,0.0
154,1.5,10.6,0.0
155,1.725,10.6,0.0
156,1.25,10.6,0.0
157,2.0,10.6,0.0
158,1.5,10.6,0.0
159,1.75,10.6,0.0
160,1.25,10.6,0.0
161,2.5,10.6,0.0
162,1.5,10.6,0.0
163,2.0,10.6,0.0
164,1.25,10.6,0.0
165,2.475,10.6,0.0
166,1.75,10.6,0.0
167,2.5,10.6,0.0
168,1.25,10.6,0.0
169,1.5,10.6,0.0
170,1.225,10.6,0.0
171,1.25,10.6,0.0
172,1.25,10.6,0.0
173,1.75,10.6,0.0
174,1.75,10.6,0.0
175,2.0,10.6,0.0
176,1.5,10.6,0.0
177,1.5,10.6,0.0
178,1.75,10.6,0.0
179,1.75,10.6,0.0
180,1.0,10.6,0.0
181,2.225,10.6,0.0
182,1.25,10.6,0.0
183,1.725,10.6,0.0
184,1.5,10.6,0.0
185,2.7,10.6,0.0
186,1.75,10.6,0.0
187,1.75,10.6,0.0
188,1.0,10.6,0.0
189,2.75,10.6,0.0
190,1.0,10.6,0.0
191,2.475,10.6,0.0
192,1.0,10.6,0.0
193,1.5,10.6,0.0
194,2.0,10.6,0.0
195,2.0,10.6,0.0
196,1.75,10.6,0.0
197,1.75,10.6,0.0
198,1.0,10.6,0.0
199,2.25,10.6,0.0
200,1.0,10.6,0.0
201,1.975,10.6,0.0
202,1.475,10.6,0.0
203,1.75,10.6,0.0
204,1.25,10.6,0.0
205,1.5,10.6,0.0
206,1.5,10.6,0.0
207,2.225,10.6,0.0
208,1.75,10.6,0.0
209,2.0,10.6,0.0
210,1.25,10.6,0.0
211,3.25,10.6,0.0
212,1.0,10.6,0.0
213,2.25,10.6,0.0
214,1.725,10.6,0.0
215,1.975,10.6,0.0
216,2.25,10.6,0.0
217,1.5,10.6,0.0
218,0.75,10.6,0.0
219,2.25,10.6,0.0
220,2.0,10.6,0.0
221,2.5,10.6,0.0
222,1.25,10.6,0.0
223,2.25,10.6,0.0
224,1.25,10.6,0.0
225,2.25,10.6,0.0
226,1.25,10.6,0.0
227,1.5,10.6,0.0
228,1.0,10.6,0.0
229,2.475,10.6,0.0
230,1.5,10.6,0.0
231,2.5,10.6,0.0
232,1.5,10.6,0.0
233,1.975,10.6,0.0
234,1.25,10.6,0.0
235,1.75,10.6,0.0
236,1.7,10.6,0.0
237,1.5,10.6,0.0
238,1.5,10.6,0.0
239,2.0,10.6,0.0
240,1.25,10.6,0.0
241,2.25,10.6,0.0
242,0.75,10.6,0.0
243,2.5,10.6,0.0
244,1.25,10.6,0.0
245,1.75,10.6,0.0
246,1.0,10.6,0.0
247,2.25,10.6,0.0
248,1.5,10.6,0.0
249,2.0,10.6,0.0
250,1.225,10.6,0.0
251,2.25,10.6,0.0
252,2.0,10.6,0.0
253,2.5,10.6,0.0
254,1.25,10.6,0.0
255,2.0,10.6,0.0
256,1.75,10.6,0.0
257,2.0,10.6,0.0
258,1.25,10.6,0.0
259,2.0,10.6,0.0
260,1.5,10.6,0.0
261,2.25,10.6,0.0
262,1.5,10.6,0.0
263,2.25,10.6,0.0
264,2.25,10.6,0.0
265,6.5,10.6,0.0
266,2.225,10.6,0.0
267,3.0,10.6,0.0
268,7.75,10.6,0.0
269,4.875,10.6,0.0
270,4.875,10.6,0.0
271,7.574999999999999,10.6,0.0
272,1.75,10.6,0.0
273,2.0,10.6,0.0
274,1.5,10.6,0.0
275,1.5,10.6,0.0
276,1.5,10.6,0.0
277,2.5,10.6,0.0
278,1.225,10.6,0.0
279,2.25,10.6,0.0
280,1.5,10.6,0.0
281,2.5,10.6,0.0
282,1.25,10.6,0.0
283,1.5,10.6,0.0
284,1.5,10.6,0.0
285,3.725,10.6,0.0
286,1.5,10.6,0.0
287,2.25,10.6,0.0
288,1.0,10.6,0.0
289,1.75,10.6,0.0
290,1.75,10.6,0.0
291,2.5,10.6,0.0
292,6.375,10.6,0.0
293,8.05,10.6,0.0
294,12.15,10.6,0.0
295,10.5,10.6,0.0
296,6.8,10.6,0.0
297,9.75,10.6,0.0
298,15.3,10.6,0.0
299,9.25,10.6,0.0
300,2.0,10.6,0.0
301,17.0,10.8,0.0
302,34.224999999999994,11.2,0.0
303,48.1,11.7,0.0
304,64.275,12.9,0.0
305,84.3,13.0,0.0
306,80.575,13.5,0.0
307,94.95,15.2,0.0
308,100.0,17.1,0.0
309,100.0,17.6,0.0
310,100.0,17.7,0.0
311,100.0,18.3,0.0
312,100.0,18.6,0.0
313,100.0,18.6,0.0
314,100.0,18.8,0.0
315,99.5,19.0,0.0
316,95.3,19.5,0.0
317,69.0,19.1,0.0
318,37.175,19.2,0.0
319,34.625,19.1,0.0
320,42.075,18.9,0.0
321,34.675,19.0,0.0
322,34.725,19.0,0.0
323,31.25,19.0,0.0
324,43.8,18.8,0.0
325,30.425,18.9,0.0
326,40.65,18.9,0.0
327,28.525,18.9,0.0
328,29.375,18.8,0.0
329,29.725,18.8,0.0
330,29.525,18.8,0.0
331,29.125,18.8,0.0
332,28.675,18.9,0.0
333,28.675,18.8,0.0
334,31.075,18.9,0.0
335,42.2,19.1,0.0
336,31.7,18.9,0.0
337,28.5,18.7,0.0
338,28.8,18.8,0.0
339,29.675,18.9,0.0
340,29.375,18.8,0.0
341,29.15,18.9,0.0
342,29.525,18.8,0.0
343,29.525,18.7,0.0
344,29.3,18.8,0.0
345,30.825,18.8,0.0
346,28.95,18.8,0.0
347,27.65,18.8,0.0
348,28.475,18.8,0.0
349,29.55,18.8,0.0
350,28.1,18.9,0.0
351,28.375,18.8,0.0
352,27.725,18.8,0.0
353,28.275,18.9,0.0
354,28.575000000000003,18.8,0.0
355,29.425,18.8,0.0
356,29.075,18.7,0.0
357,26.975,18.9,0.0
358,28.95,18.8,0.0
359,27.5,18.9,0.0
360,28.95,18.9,0.0
361,26.8,18.9,0.0
362,28.55,18.8,0.0
363,27.225,18.9,0.0
