Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,10.7,0.0
2,0.0,10.7,0.0
3,7.475,10.8,0.0
4,2.25,10.8,0.0
5,2.25,10.8,0.0
6,2.725,10.8,0.0
7,3.0,10.8,0.0
8,1.75,10.8,0.0
9,2.75,10.8,0.0
10,1.75,10.8,0.0
11,3.25,10.8,0.0
12,1.5,10.8,0.0
13,1.5,10.8,0.0
14,3.45,10.8,0.0
15,3.25,10.8,0.0
16,2.725,10.8,0.0
17,1.25,10.8,0.0
18,1.75,10.8,0.0
19,1.5,10.8,0.0
20,1.5,10.8,0.0
21,1.75,10.8,0.0
22,1.5,10.8,0.0
23,1.5,10.8,0.0
24,2.0,10.8,0.0
25,1.5,10.8,0.0
26,2.5,10.8,0.0
27,2.25,10.8,0.0
28,8.575000000000001,10.8,0.0
29,7.875,10.8,0.0
30,13.8,10.8,0.0
31,9.275,10.8,0.0
32,10.375,10.8,0.0
33,12.6,10.8,0.0
34,3.775,10.8,0.0
35,2.525,10.8,0.0
36,2.975,10.8,0.0
37,2.25,10.8,0.0
38,2.45,10.8,0.0
39,2.25,10.8,0.0
40,2.0,10.8,0.0
41,2.0,10.8,0.0
42,3.25,10.8,0.0
43,1.5,10.8,0.0
44,1.75,10.8,0.0
45,1.5,10.8,0.0
46,1.75,10.8,0.0
47,1.75,10.8,0.0
48,1.75,10.8,0.0
49,1.25,10.8,0.0
50,1.475,10.8,0.0
51,1.5,10.8,0.0
52,2.0,10.8,0.0
53,1.0,10.8,0.0
54,1.0,10.8,0.0
55,1.75,10.8,0.0
56,1.5,10.8,0.0
57,1.75,10.8,0.0
58,1.25,10.8,0.0
59,1.25,10.8,0.0
60,0.975,10.8,0.0
61,2.0,10.8,0.0
62,7.3,10.9,0.0
63,22.550000000000004,10.9,0.0
64,51.37499999999999,11.4,0.0
65,39.05,11.2,0.0
66,21.775,11.3,0.0
67,14.349999999999998,11.4,0.0
68,20.475,11.4,0.0
69,25.35,11.4,0.0
70,27.825,11.4,0.0
71,35.65,11.3,0.0
72,33.95,11.4,0.0
73,23.5,11.5,0.0
74,24.425,11.5,0.0
75,7.775,11.5,0.0
76,5.6,11.5,0.0
77,7.975,11.5,0.0
78,7.075000000000001,11.5,0.0
79,7.074999999999999,11.5,0.0
80,7.75,11.5,0.0
81,7.824999999999999,11.5,0.0
82,6.124999999999999,11.5,0.0
83,8.3,11.5,0.0
84,8.8,11.6,0.0
85,26.975,11.5,0.0
86,29.05,11.5,0.0
87,58.25,11.7,0.0
88,56.25,11.9,0.0
89,57.900000000000006,12.0,0.0
90,57.525000000000006,12.2,0.0
91,57.275000000000006,12.2,0.09999999999999432
92,56.45,12.5,0.09999999999999432
93,48.5,12.8,0.09999999999999432
94,44.15,13.7,0.09999999999999432
95,55.45,13.9,0.09999999999999432
96,56.75000000000001,14.0,0.09999999999999432
97,58.65,14.4,0.09999999999999432
98,54.45,14.9,0.09999999999999432
99,55.575,15.0,0.09999999999999432
100,73.14999999999999,14.7,0.09999999999999432
101,54.675,14.7,0.09999999999999432
102,55.125,14.9,0.09999999999999432
103,55.75,15.0,0.09999999999999432
104,62.025,15.2,0.09999999999999432
105,57.425,15.5,0.09999999999999432
106,56.6,16.1,0.09999999999999432
107,63.275,15.6,0.09999999999999432
108,57.375,16.0,0.09999999999999432
109,56.675,16.0,0.09999999999999432
110,33.400000000000006,16.0,0.09999999999999432
111,23.05,16.1,0.09999999999999432
112,31.925,16.3,0.09999999999999432
113,28.825,16.3,0.09999999999999432
114,39.825,16.4,0.09999999999999432
115,49.025,16.8,0.09999999999999432
116,64.375,17.6,0.09999999999999432
117,22.85,17.6,0.09999999999999432
118,13.925,17.7,0.09999999999999432
119,41.3,17.7,0.09999999999999432
120,30.775,17.7,0.09999999999999432
121,28.975,17.7,0.09999999999999432
122,30.125,17.6,0.09999999999999432
123,32.7,17.6,0.09999999999999432
124,17.825,17.6,0.09999999999999432
125,11.475,17.6,0.09999999999999432
126,16.674999999999997,17.6,0.09999999999999432
127,30.675,17.6,0.09999999999999432
128,24.15,17.6,0.09999999999999432
129,21.975,17.6,0.09999999999999432
130,36.650000000000006,17.8,0.09999999999999432
131,23.75,17.8,0.09999999999999432
132,21.45,17.8,0.09999999999999432
133,16.125,17.8,0.09999999999999432
134,43.525000000000006,17.8,0.09999999999999432
135,46.925,17.9,0.09999999999999432
