Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,10.5,0.0
2,0.0,10.5,0.0
3,7.525,10.7,0.0
4,2.475,10.7,0.0
5,2.225,10.7,0.0
6,1.525,10.7,0.0
7,3.0,10.7,0.0
8,2.75,10.7,0.0
9,3.2,10.7,0.0
10,2.0,10.7,0.0
11,2.25,10.7,0.0
12,3.725,10.7,0.0
13,2.275,10.7,0.0
14,2.5,10.7,0.0
15,2.5,10.7,0.0
16,2.25,10.7,0.0
17,1.975,10.7,0.0
18,1.5,10.7,0.0
19,2.0,10.7,0.0
20,2.0,10.7,0.0
21,1.5,10.7,0.0
22,2.725,10.7,0.0
23,1.0,10.7,0.0
24,2.725,10.7,0.0
25,2.475,10.7,0.0
26,1.975,10.7,0.0
27,1.5,10.7,0.0
28,1.75,10.7,0.0
29,1.75,10.7,0.0
30,1.975,10.7,0.0
31,1.75,10.7,0.0
32,2.0,10.7,0.0
33,2.525,10.7,0.0
34,3.95,10.7,0.0
35,2.25,10.7,0.0
36,2.75,10.7,0.0
37,2.775,10.7,0.0
38,2.5,10.7,0.0
39,2.725,10.7,0.0
40,2.5,10.7,0.0
41,2.25,10.7,0.0
42,2.75,10.7,0.0
43,2.25,10.7,0.0
44,1.75,10.7,0.0
45,4.074999999999999,10.7,0.0
46,2.25,10.7,0.0
47,2.75,10.7,0.0
48,1.5,10.7,0.0
49,2.25,10.7,0.0
50,1.0,10.7,0.0
51,1.75,10.7,0.0
52,1.25,10.7,0.0
53,1.75,10.7,0.0
54,1.25,10.7,0.0
55,1.5,10.7,0.0
56,1.25,10.7,0.0
57,2.725,10.7,0.0
58,1.25,10.7,0.0
59,1.5,10.7,0.0
60,1.0,10.7,0.0
61,2.0,10.7,0.0
62,1.5,10.7,0.0
63,2.225,10.7,0.0
64,1.5,10.7,0.0
65,2.5,10.7,0.0
66,1.475,10.7,0.0
67,2.0,10.7,0.0
68,1.25,10.7,0.0
69,1.75,10.7,0.0
70,1.25,10.7,0.0
71,2.75,10.7,0.0
72,1.75,10.7,0.0
73,1.75,10.7,0.0
74,1.5,10.7,0.0
75,2.0,10.7,0.0
76,0.75,10.7,0.0
77,2.5,10.7,0.0
78,1.25,10.7,0.0
79,2.25,10.7,0.0
80,1.25,10.7,0.0
81,2.25,10.7,0.0
82,1.5,10.7,0.0
83,2.0,10.7,0.0
84,1.25,10.7,0.0
85,1.75,10.7,0.0
86,1.25,10.7,0.0
87,4.725,10.7,0.0
88,0.75,10.7,0.0
89,1.5,10.7,0.0
90,1.75,10.7,0.0
91,1.75,10.7,0.0
92,1.475,10.7,0.0
93,1.75,10.7,0.0
94,2.25,10.7,0.0
95,1.75,10.7,0.0
96,1.75,10.7,0.0
97,1.25,10.7,0.0
98,1.25,10.7,0.0
99,1.75,10.7,0.0
100,1.25,10.7,0.0
101,1.975,10.7,0.0
102,1.25,10.7,0.0
103,1.0,10.7,0.0
104,1.5,10.7,0.0
105,1.25,10.7,0.0
106,1.5,10.7,0.0
107,2.0,10.7,0.0
108,1.75,10.7,0.0
109,1.5,10.7,0.0
110,1.225,10.7,0.0
111,2.0,10.7,0.0
112,1.5,10.7,0.0
113,1.5,10.7,0.0
114,1.25,10.7,0.0
115,1.5,10.7,0.0
116,1.5,10.7,0.0
117,2.25,10.7,0.0
