Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
1,0.0,10.5,0.0
2,3.025,10.6,0.0
3,2.25,10.6,0.0
4,1.725,10.6,0.0
5,4.925,10.6,0.0
6,1.75,10.6,0.0
7,2.25,10.6,0.0
8,2.25,10.6,0.0
9,1.75,10.6,0.0
10,2.0,10.6,0.0
11,1.0,10.6,0.0
12,1.5,10.6,0.0
13,0.75,10.6,0.0
14,1.5,10.6,0.0
15,1.25,10.6,0.0
16,1.75,10.6,0.0
17,0.75,10.6,0.0
18,2.5,10.6,0.0
19,1.75,10.6,0.0
20,2.525,10.6,0.0
21,1.0,10.6,0.0
22,1.5,10.6,0.0
23,1.0,10.6,0.0
24,1.75,10.6,0.0
25,1.25,10.6,0.0
26,1.0,10.6,0.0
27,2.0,10.6,0.0
28,1.5,10.6,0.0
29,0.75,10.6,0.0
30,1.75,10.6,0.0
31,1.0,10.6,0.0
32,1.25,10.6,0.0
33,0.75,10.6,0.0
34,1.75,10.6,0.0
35,1.25,10.6,0.0
36,1.725,10.6,0.0
37,0.75,10.6,0.0
38,1.25,10.6,0.0
39,1.0,10.6,0.0
40,1.25,10.6,0.0
41,1.0,10.6,0.0
42,1.75,10.6,0.0
43,0.75,10.6,0.0
44,1.725,10.6,0.0
45,1.25,10.6,0.0
46,1.225,10.6,0.0
47,2.0,10.6,0.0
48,6.775,10.6,0.0
49,6.949999999999999,10.6,0.0
50,14.5,10.6,0.0
51,10.625,10.7,0.0
52,13.675,10.7,0.0
53,2.475,10.7,0.0
54,1.975,10.6,0.0
55,10.3,10.6,0.0
56,3.775,10.6,0.0
57,1.25,10.6,0.0
58,2.25,10.6,0.0
59,3.2,10.6,0.0
60,2.0,10.6,0.0
61,12.1,10.8,0.0
62,51.475,11.3,0.0
63,58.725,11.8,0.0
64,83.0,12.9,0.0
65,91.25,13.6,0.0
66,97.225,15.0,0.0
67,97.5,15.5,0.0
68,95.75,16.2,0.0
69,99.75,17.4,0.0
70,100.0,18.2,0.0
71,100.0,18.2,0.0
72,100.0,18.3,0.0
73,100.0,18.2,0.0
74,100.0,18.3,0.0
75,100.0,18.4,0.0
76,100.0,18.4,0.0
77,92.675,18.8,0.0
78,90.075,19.2,0.0
79,68.9,19.2,0.0
80,63.675,19.3,0.0
81,53.775,19.3,0.0
82,53.3,19.3,0.0
83,52.325,19.1,0.0
84,57.325,19.1,0.0
85,55.900000000000006,19.1,0.0
86,50.875,19.2,0.0
87,49.975,19.0,0.0
88,51.4,19.1,0.0
89,54.925,19.2,0.0
90,51.525,19.0,0.0
91,53.55,19.0,0.0
92,50.775,19.0,0.0
93,53.45,19.1,0.0
94,51.25,19.1,0.0
95,54.15,19.1,0.0
96,54.65,19.0,0.0
97,49.5,19.0,0.0
98,53.775000000000006,19.1,0.0
99,53.925,19.0,0.0
100,51.4,18.9,0.0
101,51.325,19.1,0.0
102,47.2,18.9,0.0
103,54.475,19.0,0.0
104,53.9,18.9,0.0
105,52.35,19.1,0.0
106,50.175,19.1,0.0
107,50.475,19.2,0.0
108,52.150000000000006,19.1,0.0
109,48.825,19.0,0.0
110,52.175,19.1,0.0
111,54.65,19.1,0.0
112,50.175,19.0,0.0
113,50.75,18.9,0.0
114,52.125,19.1,0.0
115,53.725,19.0,0.0
116,51.6,19.1,0.0
117,50.6,19.0,0.0
118,53.025,19.0,0.0
119,49.875,19.1,0.0
120,50.65,19.0,0.0
121,60.375,19.2,0.0
122,91.975,19.4,0.0
123,95.75,19.7,0.0
124,71.725,19.4,0.0
125,99.75,20.2,0.0
126,99.5,20.0,0.0
127,59.475,19.4,0.0
128,65.15,20.0,0.0
129,99.5,20.4,0.0
130,98.5,21.3,0.0
131,94.425,22.2,0.0
132,83.075,22.8,0.0
133,83.025,22.9,0.0
134,96.05,23.7,0.0
135,99.25,24.1,0.0
136,99.5,21.2,0.0
137,67.0,19.7,0.0
138,61.875,19.9,0.0
139,99.75,20.4,0.0
140,99.75,22.2,0.0
141,100.0,23.3,0.0
142,100.0,24.0,0.0
143,98.0,19.9,0.0
144,61.7,19.6,0.0
145,97.725,20.3,0.0
146,99.75,21.9,0.0
147,100.0,22.8,0.0
148,93.75,20.3,0.0
149,66.02499999999999,19.6,0.0
150,95.0,20.3,0.0
151,99.75,21.0,0.0
152,100.0,22.9,0.0
153,100.0,23.7,0.0
154,100.0,23.4,0.0
155,87.825,20.8,0.0
156,84.925,19.9,0.0
157,97.775,20.2,0.0
158,99.75,21.9,0.0
159,100.0,21.6,0.0
160,99.75,22.2,0.0
161,100.0,22.8,0.0
162,100.0,23.4,0.0
163,100.0,24.0,0.0
164,100.0,23.0,0.0
165,99.0,21.9,0.0
166,100.0,21.1,0.0
167,99.75,21.6,0.0
168,99.75,21.4,0.0
169,99.75,22.3,0.0
170,100.0,22.1,0.0
171,100.0,22.1,0.0
172,100.0,23.0,0.0
173,100.0,21.8,0.0
174,98.525,21.8,0.0
175,100.0,22.5,0.0
176,100.0,22.6,0.0
177,99.5,21.8,0.0
178,99.5,21.1,0.0
179,99.5,21.4,0.0
180,100.0,21.5,0.0
181,100.0,22.2,0.0
182,100.0,22.8,0.0
183,100.0,23.5,0.0
184,100.0,23.0,0.0
185,100.0,22.4,0.0
186,100.0,22.7,0.0
187,100.0,21.1,0.0
188,100.0,21.6,0.0
189,100.0,22.1,0.0
190,100.0,22.3,0.0
191,100.0,23.0,0.0
192,100.0,22.3,0.0
193,100.0,22.9,0.0
194,100.0,23.1,0.0
195,99.5,20.0,0.0
196,86.1,20.9,0.0
197,99.75,20.6,0.0
198,99.5,22.0,0.0
199,99.0,21.1,0.0
200,99.0,21.1,0.0
201,85.725,20.7,0.0
202,81.475,20.8,0.0
203,78.775,20.8,0.0
