WMS,Component,AVERAGE,STD,CV,MIN,MAX
Airflow,SERVER_USAGE,47.11,3.60,7.63,48.20,67.13
,WORKFLOW_USAGE,83.47,11.44,13.70,59.48,100.00
Argo,SERVER_USAGE,15.96,18.38,115.13,8.85,64.73
,WORKFLOW_USAGE,23.44,17.91,76.41,7.40,61.35
Luigi,SERVER_USAGE,17.83,9.68,54.30,0.75,41.45
,WORKFLOW_USAGE,60.75,31.21,51.38,0.98,100.00
Metaflow,SERVER_USAGE,2.96,9.92,334.97,3.25,73.90
,WORKFLOW_USAGE,73.31,29.79,40.63,13.10,100.00
Snakemake,SERVER_USAGE,0.00,0.00,0.00,0.00,0.00
,WORKFLOW_USAGE,60.72,33.37,54.96,1.25,100.00
