WMS,Component,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
Airflow,TOTAL_USAGE,100.0,24.1,0.0
Airflow,BASE_USAGE,96.225,16.5,0.0
Airflow,SERVER_USAGE,67.125,19.8,0.0
Airflow,WORKFLOW_USAGE,100.0,24.1,0.0
Argo,TOTAL_USAGE,73.14999999999999,20.7,1.0999999999999943
Argo,BASE_USAGE,69.625,19.4,0.0
Argo,SERVER_USAGE,64.725,19.4,0.0999999999999943
Argo,WORKFLOW_USAGE,61.35,20.7,1.0999999999999943
Luigi,TOTAL_USAGE,100.0,17.4,0.0
Luigi,BASE_USAGE,29.85,14.5,0.0
Luigi,SERVER_USAGE,41.45,14.6,0.0
Luigi,WORKFLOW_USAGE,100.0,17.4,0.0
Metaflow,TOTAL_USAGE,100.0,21.8,0.0
Metaflow,BASE_USAGE,53.525,16.6,0.0
Metaflow,SERVER_USAGE,73.9,16.7,0.0
Metaflow,WORKFLOW_USAGE,100.0,21.8,0.0
Snakemake,TOTAL_USAGE,100.0,14.0,0.0
Snakemake,BASE_USAGE,9.125,10.7,0.0
Snakemake,SERVER_USAGE,0.0,0.0,0.0
Snakemake,WORKFLOW_USAGE,100.0,14.0,0.0
