WMS,Component,AVERAGE_MEMORY_USAGE,STD_MEMORY_USAGE,CV_MEMORY_USAGE,MIN_MEMORY_USAGE,MAX_MEMORY_USAGE
Airflow,TOTAL_USAGE,29.855000000000004,2.419232512720058,22.96067494085179,10.5,24.1
Airflow,BASE_USAGE,11.07666666666666,1.1390590658765485,10.283410164398576,10.8,16.5
Airflow,SERVER_USAGE,8.553333333333338,0.08225975119502,0.9617274106978182,19.5,19.8
Airflow,WORKFLOW_USAGE,10.225000000000003,1.1979136956484897,11.715537365755395,19.2,24.1
Argo,TOTAL_USAGE,24.989957521239376,3.550995812989856,33.83607223358911,10.7,20.7
Argo,BASE_USAGE,13.455,2.800263380469773,20.81206525804365,11.5,19.4
Argo,SERVER_USAGE,5.7716666666666665,0.083399973354645,1.444989431498326,19.1,19.4
Argo,WORKFLOW_USAGE,5.763290854572711,0.6673324591654383,11.579017544047137,17.6,20.7
Luigi,TOTAL_USAGE,19.02315789473684,1.545577487511132,26.65646046287137,10.8,17.4
Luigi,BASE_USAGE,11.218333333333334,0.6105985223987654,5.442863072935065,11.1,14.5
Luigi,SERVER_USAGE,3.2266666666666666,0.0864580823289526,2.6794860225915085,14.2,14.6
Luigi,WORKFLOW_USAGE,4.57815789473684,0.8485208827834141,18.5341113673448,14.1,17.4
Metaflow,TOTAL_USAGE,24.178502824858757,2.498777906952084,27.833784689867272,10.5,21.8
Metaflow,BASE_USAGE,11.385000000000002,1.1906335848334424,10.457914666960406,11.1,16.6
Metaflow,SERVER_USAGE,5.218333333333334,0.0179505493571146,0.3439900866901559,16.6,16.7
Metaflow,WORKFLOW_USAGE,7.575169491525418,1.2901937727615271,17.03187993621671,16.2,21.8
Snakemake,TOTAL_USAGE,12.144827586206896,1.0243391789241227,65.45585541376443,10.3,14.0
Snakemake,BASE_USAGE,10.603333333333332,0.0179505493571149,0.1692915689133758,10.6,10.7
Snakemake,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Snakemake,WORKFLOW_USAGE,1.5414942528735622,1.0063886295670077,65.28656384485105,10.6,14.0
