WMS,Component,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
Airflow,TOTAL_USAGE,0.0,10.5,0.0
Airflow,BASE_USAGE,0.5,10.8,0.0
Airflow,SERVER_USAGE,48.2,19.5,0.0
Airflow,WORKFLOW_USAGE,59.475,19.2,0.0
Argo,TOTAL_USAGE,0.0,10.7,0.0
Argo,BASE_USAGE,0.75,11.5,0.0
Argo,SERVER_USAGE,8.85,19.1,0.0
Argo,WORKFLOW_USAGE,7.4,17.6,0.0999999999999943
Luigi,TOTAL_USAGE,0.0,10.8,0.0
Luigi,BASE_USAGE,0.75,11.1,0.0
Luigi,SERVER_USAGE,0.75,14.2,0.0
Luigi,WORKFLOW_USAGE,0.975,14.1,0.0
Metaflow,TOTAL_USAGE,0.0,10.5,0.0
Metaflow,BASE_USAGE,0.75,11.1,0.0
Metaflow,SERVER_USAGE,3.25,16.6,0.0
Metaflow,WORKFLOW_USAGE,13.1,16.2,0.0
Snakemake,TOTAL_USAGE,0.0,10.3,0.0
Snakemake,BASE_USAGE,0.75,10.6,0.0
Snakemake,SERVER_USAGE,0.0,0.0,0.0
Snakemake,WORKFLOW_USAGE,1.25,10.6,0.0
