WMS,Component,SENT_BYTES
Airflow,TOTAL_USAGE,0.1521270563825965
Airflow,BASE_USAGE,7.593072950839996e-06
Airflow,SERVER_USAGE,0.0343308011069893
Airflow,WORKFLOW_USAGE,0.1177886622026562
Argo,TOTAL_USAGE,0.0094532715156674
Argo,BASE_USAGE,3.4617260098457336e-06
Argo,SERVER_USAGE,0.0008944012224674
Argo,WORKFLOW_USAGE,0.0085554085671901
Luigi,TOTAL_USAGE,0.0009445501491427
Luigi,BASE_USAGE,7.061287760734558e-06
Luigi,SERVER_USAGE,0.0002614893019199
Luigi,WORKFLOW_USAGE,0.000675999559462
Metaflow,TOTAL_USAGE,0.0139266606420278
Metaflow,BASE_USAGE,2.125278115272522e-06
Metaflow,SERVER_USAGE,0.0003232611343264
Metaflow,WORKFLOW_USAGE,0.0136012742295861
Snakemake,TOTAL_USAGE,1.3493001461029053e-05
Snakemake,BASE_USAGE,4.1406601667404175e-06
Snakemake,SERVER_USAGE,0.0
Snakemake,WORKFLOW_USAGE,9.352341294288635e-06
