WMS,Component,AVERAGE_DISK_USAGE,STD_DISK_USAGE,CV_DISK_USAGE,MIN_DISK_USAGE,MAX_DISK_USAGE
Airflow,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Airflow,WORKFLOW_USAGE,0.4308489365569881,0.2971480516107567,68.96803645039358,0.0,1.0999999999999943
Argo,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Argo,WORKFLOW_USAGE,0.5056109725685738,0.1148280218100952,22.7107456206405,0.0,1.1999999999999886
Luigi,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Luigi,WORKFLOW_USAGE,0.1622701598365629,0.0803188250031351,49.49697780789244,0.0,0.9000000000000057
Metaflow,SERVER_USAGE,0.0006666666666667,0.0081377037438231,1220.655561573371,0.0,0.1000000000000085
Metaflow,WORKFLOW_USAGE,0.2655704697986658,0.0565326235852527,21.28724011676117,0.0,0.6000000000000085
Snakemake,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Snakemake,WORKFLOW_USAGE,0.2057740781991905,0.0790282046920061,38.40532558017652,0.0,0.8999999999999915
