WMS,Component,AVERAGE_MEMORY_USAGE,STD_MEMORY_USAGE,CV_MEMORY_USAGE,MIN_MEMORY_USAGE,MAX_MEMORY_USAGE
Airflow,SERVER_USAGE,9.013666666666673,0.1041451977876184,1.155414346225565,21.2,21.9
Airflow,WORKFLOW_USAGE,24.17789910925287,4.231993909480356,17.503563441791243,19.4,41.4
Argo,SERVER_USAGE,6.294000000000002,0.190585064122734,3.028043599026596,18.2,19.0
Argo,WORKFLOW_USAGE,17.497863749716615,3.137467013309316,17.93057174399434,17.0,33.6
Luigi,SERVER_USAGE,3.7633333333333336,0.4994008632573858,13.27017351436809,11.4,15.4
Luigi,WORKFLOW_USAGE,16.891226334975762,4.404171382832146,26.073721916286587,14.1,32.0
Metaflow,SERVER_USAGE,4.503000000000002,1.6340469189510232,36.2879617799472,15.3,20.2
Metaflow,WORKFLOW_USAGE,21.782659548505187,4.455974332511357,20.456521034949308,16.8,37.3
Snakemake,SERVER_USAGE,0.0,0.0,0.0,0.0,0.0
Snakemake,WORKFLOW_USAGE,12.827938097192094,4.144369722995415,32.30737232745592,11.1,28.5
