WMS,Component,MAX_CPU_USAGE,MAX_MEMORY_USAGE,MAX_DISK_USAGE
Airflow,TOTAL_USAGE,100.0,41.4,1.0999999999999943
Airflow,BASE_USAGE,80.0,21.3,0.0
Airflow,SERVER_USAGE,64.075,21.9,0.0
Airflow,WORKFLOW_USAGE,100.0,41.4,1.0999999999999943
Argo,TOTAL_USAGE,100.0,33.6,1.1999999999999886
Argo,BASE_USAGE,64.55,18.8,0.0
Argo,SERVER_USAGE,75.6,19.0,0.0
Argo,WORKFLOW_USAGE,100.0,33.6,1.1999999999999886
Luigi,TOTAL_USAGE,100.0,32.0,0.9000000000000057
Luigi,BASE_USAGE,14.175,11.5,0.0
Luigi,SERVER_USAGE,43.475,15.4,0.0
Luigi,WORKFLOW_USAGE,100.0,32.0,0.9000000000000057
Metaflow,TOTAL_USAGE,100.0,37.3,0.6000000000000085
Metaflow,BASE_USAGE,51.1,15.3,0.0
Metaflow,SERVER_USAGE,73.45,20.2,0.1000000000000085
Metaflow,WORKFLOW_USAGE,100.0,37.3,0.6000000000000085
Snakemake,TOTAL_USAGE,100.0,28.5,0.8999999999999915
Snakemake,BASE_USAGE,4.75,12.0,0.0
Snakemake,SERVER_USAGE,0.0,0.0,0.0
Snakemake,WORKFLOW_USAGE,100.0,28.5,0.8999999999999915
