WMS,Component,MIN_CPU_USAGE,MIN_MEMORY_USAGE,MIN_DISK_USAGE
Airflow,TOTAL_USAGE,0.0,10.4,0.0
Airflow,BASE_USAGE,1.5,12.0,0.0
Airflow,SERVER_USAGE,2.225,21.2,0.0
Airflow,WORKFLOW_USAGE,4.25,19.4,0.0
Argo,TOTAL_USAGE,0.0,10.5,0.0
Argo,BASE_USAGE,1.25,12.1,0.0
Argo,SERVER_USAGE,8.025,18.2,0.0
Argo,WORKFLOW_USAGE,16.75,17.0,0.0
Luigi,TOTAL_USAGE,0.0,10.4,0.0
Luigi,BASE_USAGE,1.475,11.2,0.0
Luigi,SERVER_USAGE,1.5,11.4,0.0
Luigi,WORKFLOW_USAGE,1.75,14.1,0.0
Metaflow,TOTAL_USAGE,0.0,11.0,0.0
Metaflow,BASE_USAGE,1.5,11.6,0.0
Metaflow,SERVER_USAGE,1.5,15.3,0.0
Metaflow,WORKFLOW_USAGE,1.975,16.8,0.0
Snakemake,TOTAL_USAGE,0.0,10.7,0.0
Snakemake,BASE_USAGE,1.25,11.9,0.0
Snakemake,SERVER_USAGE,0.0,0.0,0.0
Snakemake,WORKFLOW_USAGE,0.75,11.1,0.0
